,Hydropower,900,1 010,1 130,1 231,1 730,2 200,2 540,2 880,3 147,3 300,3 650,4 008,3 804,3 603,5 005,5 005,6 251,7 679,7 679,
,Renewable hydropower,900,1 010,1 130,1 231,1 730,2 200,2 540,2 880,3 147,3 300,3 650,4 008,3 804,3 603,5 005,5 005,6 251,7 679,7 679,
,Pumped storage,,,,,,,,,,,,,,,,,,,,
,Marine,,,,,,,,,,,,,,,,,,,,
,Wind,,,,,,,,,,,,,,,,,,,,
,Onshore wind energy,,,,,,,,,,,,,,,,,,,,
,Offshore wind energy,,,,,,,,,,,,,,,,,,,,
,Solar,0,0,0,0,1,1,1,4,7,8,10,11,14,15,17,18,18,18,18,
,Solar photovoltaic,0,0,0,0,1,1,1,4,7,8,10,11,14,15,17,18,18,18,18,
,Concentrated solar power,,,,,,,,,,,,,,,,,,,,
,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,155,200,200,
,Solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,155,200,200,
,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,155,200,200,
,Renewable municipal waste,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,,,,,,,,,,,,,,,,,,,,
,Biogas,,,,,,,,,,,,,,,,,,,,
,Geothermal,,,,,,,,,,,,,,,,,,,,
Benin,Total renewable energy,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,6,5,5,5,
,Hydropower,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
,Renewable hydropower,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
,Pumped storage,,,,,,,,,,,,,,,,,,,,
,Marine,,,,,,,,,,,,,,,,,,,,
,Wind,,,,,,,,,,,,,,,,,,,,
,Onshore wind energy,,,,,,,,,,,,,,,,,,,,
,Offshore wind energy,,,,,,,,,,,,,,,,,,,,
,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,
,Solar photovoltaic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,
,Concentrated solar power,,,,,,,,,,,,,,,,,,,,
,Bioenergy,,,,,,,,,,,,,,,,,,,,
,Solid biofuels,,,,,,,,,,,,,,,,,,,,
,Bagasse,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,,,,,,,,,,,,,,,,,,,,
,Biogas,,,,,,,,,,,,,,,,,,,,
,Geothermal,,,,,,,,,,,,,,,,,,,,
Botswana,Total renewable energy,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,5,5,5,
